$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_hr,tc2q,temper,alter#
 9.5000e-11, 9.5000e-11, 3.9939e-10,  25.00000,1
 9.6000e-11, 9.6000e-11, 3.9933e-10,  25.00000,1
 9.7000e-11, 9.7000e-11, 3.9926e-10,  25.00000,1
 9.8000e-11, 9.8000e-11, 3.9927e-10,  25.00000,1
 9.9000e-11, 9.9000e-11, 3.9920e-10,  25.00000,1
 1.0000e-10, 1.0000e-10, 3.9916e-10,  25.00000,1
 1.0100e-10, 1.0100e-10, 3.9913e-10,  25.00000,1
 1.0200e-10, 1.0200e-10, 3.9907e-10,  25.00000,1
 1.0300e-10, 1.0300e-10, 3.9905e-10,  25.00000,1
 1.0400e-10, 1.0400e-10, 3.9898e-10,  25.00000,1
 1.0500e-10, 1.0500e-10, 3.9897e-10,  25.00000,1
 1.0600e-10, 1.0600e-10, 3.9889e-10,  25.00000,1
 1.0700e-10, 1.0700e-10, 3.9885e-10,  25.00000,1
 1.0800e-10, 1.0800e-10, 3.9882e-10,  25.00000,1
 1.0900e-10, 1.0900e-10, 3.9880e-10,  25.00000,1
 1.1000e-10, 1.1000e-10, 3.9879e-10,  25.00000,1
 1.1100e-10, 1.1100e-10, 3.9874e-10,  25.00000,1
 1.1200e-10, 1.1200e-10, 3.9870e-10,  25.00000,1
 1.1300e-10, 1.1300e-10, 3.9866e-10,  25.00000,1
 1.1400e-10, 1.1400e-10, 3.9862e-10,  25.00000,1
 1.1500e-10, 1.1500e-10, 3.9858e-10,  25.00000,1
 1.1600e-10, 1.1600e-10, 3.9855e-10,  25.00000,1
 1.1700e-10, 1.1700e-10, 3.9852e-10,  25.00000,1
 1.1800e-10, 1.1800e-10, 3.9856e-10,  25.00000,1
 1.1900e-10, 1.1900e-10, 3.9855e-10,  25.00000,1
 1.2000e-10, 1.2000e-10, 3.9851e-10,  25.00000,1
 1.2100e-10, 1.2100e-10, 3.9850e-10,  25.00000,1
 1.2200e-10, 1.2200e-10, 3.9846e-10,  25.00000,1
 1.2300e-10, 1.2300e-10, 3.9847e-10,  25.00000,1
 1.2400e-10, 1.2400e-10, 3.9847e-10,  25.00000,1
 1.2500e-10, 1.2500e-10, 3.9842e-10,  25.00000,1
 1.2600e-10, 1.2600e-10, 3.9839e-10,  25.00000,1
 1.2700e-10, 1.2700e-10, 3.9841e-10,  25.00000,1
 1.2800e-10, 1.2800e-10, 3.9839e-10,  25.00000,1
 1.2900e-10, 1.2900e-10, 3.9836e-10,  25.00000,1
 1.3000e-10, 1.3000e-10, 3.9836e-10,  25.00000,1
 1.3100e-10, 1.3100e-10, 3.9837e-10,  25.00000,1
 1.3200e-10, 1.3200e-10, 3.9835e-10,  25.00000,1
 1.3300e-10, 1.3300e-10, 3.9835e-10,  25.00000,1
 1.3400e-10, 1.3400e-10, 3.9833e-10,  25.00000,1
 1.3500e-10, 1.3500e-10, 3.9833e-10,  25.00000,1
 1.3600e-10, 1.3600e-10, 3.9837e-10,  25.00000,1
 1.3700e-10, 1.3700e-10, 3.9829e-10,  25.00000,1
 1.3800e-10, 1.3800e-10, 3.9835e-10,  25.00000,1
 1.3900e-10, 1.3900e-10, 3.9834e-10,  25.00000,1
 1.4000e-10, 1.4000e-10, 3.9834e-10,  25.00000,1
 1.4100e-10, 1.4100e-10, 3.9833e-10,  25.00000,1
 1.4200e-10, 1.4200e-10, 3.9837e-10,  25.00000,1
 1.4300e-10, 1.4300e-10, 3.9839e-10,  25.00000,1
 1.4400e-10, 1.4400e-10, 3.9838e-10,  25.00000,1
 1.4500e-10, 1.4500e-10, 3.9833e-10,  25.00000,1
 1.4600e-10, 1.4600e-10, 3.9838e-10,  25.00000,1
 1.4700e-10, 1.4700e-10, 3.9830e-10,  25.00000,1
 1.4800e-10, 1.4800e-10, 3.9836e-10,  25.00000,1
 1.4900e-10, 1.4900e-10, 3.9838e-10,  25.00000,1
 1.5000e-10, 1.5000e-10, 3.9836e-10,  25.00000,1
