$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-4.0000e-12,-4.0000e-12, 2.0372e-08, 2.0376e-08,  25.00000,1
-3.0000e-12,-3.0000e-12, 2.0373e-08, 2.0376e-08,  25.00000,1
-2.0000e-12,-2.0000e-12, 2.0374e-08, 2.0376e-08,  25.00000,1
-1.0000e-12,-1.0000e-12, 2.0375e-08, 2.0376e-08,  25.00000,1
   0.,   0., 2.0376e-08, 2.0376e-08,  25.00000,1
 1.0000e-12, 1.0000e-12, 2.0377e-08, 2.0376e-08,  25.00000,1
 2.0000e-12, 2.0000e-12, 2.0378e-08, 2.0376e-08,  25.00000,1
 3.0000e-12, 3.0000e-12, 2.0379e-08, 2.0376e-08,  25.00000,1
 4.0000e-12, 4.0000e-12, 2.0380e-08, 2.0376e-08,  25.00000,1
 5.0000e-12, 5.0000e-12, 2.0381e-08, 2.0376e-08,  25.00000,1
 6.0000e-12, 6.0000e-12, 2.0382e-08, 2.0376e-08,  25.00000,1
 7.0000e-12, 7.0000e-12, 2.0383e-08, 2.0376e-08,  25.00000,1
 8.0000e-12, 8.0000e-12, 2.0384e-08, 2.0376e-08,  25.00000,1
 9.0000e-12, 9.0000e-12, 2.0385e-08, 2.0376e-08,  25.00000,1
 1.0000e-11, 1.0000e-11, 2.0386e-08, 2.0376e-08,  25.00000,1
 1.1000e-11, 1.1000e-11, 2.0387e-08, 2.0376e-08,  25.00000,1
 1.2000e-11, 1.2000e-11, 2.0388e-08, 2.0376e-08,  25.00000,1
 1.3000e-11, 1.3000e-11, 2.0389e-08, 2.0376e-08,  25.00000,1
 1.4000e-11, 1.4000e-11, 2.0390e-08, 2.0376e-08,  25.00000,1
 1.5000e-11, 1.5000e-11, 2.0391e-08, 2.0376e-08,  25.00000,1
 1.6000e-11, 1.6000e-11, 2.0392e-08, 2.0376e-08,  25.00000,1
 1.7000e-11, 1.7000e-11, 2.0393e-08, 2.0376e-08,  25.00000,1
 1.8000e-11, 1.8000e-11, 2.0394e-08, 2.0376e-08,  25.00000,1
 1.9000e-11, 1.9000e-11, 2.0395e-08, 2.0376e-08,  25.00000,1
 2.0000e-11, 2.0000e-11, 2.0396e-08, 2.0376e-08,  25.00000,1
 2.1000e-11, 2.1000e-11, 2.0397e-08, 2.0376e-08,  25.00000,1
 2.2000e-11, 2.2000e-11, 2.0398e-08, 2.0376e-08,  25.00000,1
 2.3000e-11, 2.3000e-11, 2.0399e-08, 2.0376e-08,  25.00000,1
 2.4000e-11, 2.4000e-11, 2.0400e-08, 2.0376e-08,  25.00000,1
 2.5000e-11, 2.5000e-11, 2.0401e-08, 2.0376e-08,  25.00000,1
 2.6000e-11, 2.6000e-11, 2.0402e-08, 2.0376e-08,  25.00000,1
 2.7000e-11, 2.7000e-11, 2.0403e-08, 2.0376e-08,  25.00000,1
 2.8000e-11, 2.8000e-11, 2.0404e-08, 2.0376e-08,  25.00000,1
 2.9000e-11, 2.9000e-11, 2.0405e-08, 2.0376e-08,  25.00000,1
 3.0000e-11, 3.0000e-11, 2.0406e-08, 2.0376e-08,  25.00000,1
 3.1000e-11, 3.1000e-11, 2.0407e-08, 2.0376e-08,  25.00000,1
 3.2000e-11, 3.2000e-11, 2.0408e-08, 2.0376e-08,  25.00000,1
