$DATA1 SOURCE='HSPICE' VERSION='N-2017.12 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '* -------------------------------------------------------------------'
tdelay,t_sur,td2qr,tck2qr,temper,alter#
-1.8000e-11,-1.8000e-11, 2.0445e-08, 2.0463e-08,  25.00000,1
-1.7000e-11,-1.7000e-11, 2.0446e-08, 2.0463e-08,  25.00000,1
-1.6000e-11,-1.6000e-11, 2.0447e-08, 2.0463e-08,  25.00000,1
-1.5000e-11,-1.5000e-11, 2.0448e-08, 2.0463e-08,  25.00000,1
-1.4000e-11,-1.4000e-11, 2.0449e-08, 2.0463e-08,  25.00000,1
-1.3000e-11,-1.3000e-11, 2.0450e-08, 2.0463e-08,  25.00000,1
-1.2000e-11,-1.2000e-11, 2.0451e-08, 2.0463e-08,  25.00000,1
-1.1000e-11,-1.1000e-11, 2.0452e-08, 2.0463e-08,  25.00000,1
-1.0000e-11,-1.0000e-11, 2.0453e-08, 2.0463e-08,  25.00000,1
-9.0000e-12,-9.0000e-12, 2.0454e-08, 2.0463e-08,  25.00000,1
-8.0000e-12,-8.0000e-12, 2.0455e-08, 2.0463e-08,  25.00000,1
-7.0000e-12,-7.0000e-12, 2.0456e-08, 2.0463e-08,  25.00000,1
-6.0000e-12,-6.0000e-12, 2.0457e-08, 2.0463e-08,  25.00000,1
-5.0000e-12,-5.0000e-12, 2.0458e-08, 2.0463e-08,  25.00000,1
-4.0000e-12,-4.0000e-12, 2.0459e-08, 2.0463e-08,  25.00000,1
-3.0000e-12,-3.0000e-12, 2.0460e-08, 2.0463e-08,  25.00000,1
-2.0000e-12,-2.0000e-12, 2.0461e-08, 2.0463e-08,  25.00000,1
-1.0000e-12,-1.0000e-12, 2.0462e-08, 2.0463e-08,  25.00000,1
   0.,   0., 2.0463e-08, 2.0463e-08,  25.00000,1
 1.0000e-12, 1.0000e-12, 2.0464e-08, 2.0463e-08,  25.00000,1
 2.0000e-12, 2.0000e-12, 2.0465e-08, 2.0463e-08,  25.00000,1
 3.0000e-12, 3.0000e-12, 2.0466e-08, 2.0463e-08,  25.00000,1
 4.0000e-12, 4.0000e-12, 2.0467e-08, 2.0463e-08,  25.00000,1
 5.0000e-12, 5.0000e-12, 2.0468e-08, 2.0463e-08,  25.00000,1
 6.0000e-12, 6.0000e-12, 2.0469e-08, 2.0463e-08,  25.00000,1
 7.0000e-12, 7.0000e-12, 2.0470e-08, 2.0463e-08,  25.00000,1
 8.0000e-12, 8.0000e-12, 2.0471e-08, 2.0463e-08,  25.00000,1
 9.0000e-12, 9.0000e-12, 2.0472e-08, 2.0463e-08,  25.00000,1
 1.0000e-11, 1.0000e-11, 2.0473e-08, 2.0463e-08,  25.00000,1
 1.1000e-11, 1.1000e-11, 2.0474e-08, 2.0463e-08,  25.00000,1
 1.2000e-11, 1.2000e-11, 2.0475e-08, 2.0463e-08,  25.00000,1
 1.3000e-11, 1.3000e-11, 2.0476e-08, 2.0463e-08,  25.00000,1
 1.4000e-11, 1.4000e-11, 2.0477e-08, 2.0463e-08,  25.00000,1
 1.5000e-11, 1.5000e-11, 2.0478e-08, 2.0463e-08,  25.00000,1
 1.6000e-11, 1.6000e-11, 2.0479e-08, 2.0463e-08,  25.00000,1
 1.7000e-11, 1.7000e-11, 2.0480e-08, 2.0463e-08,  25.00000,1
 1.8000e-11, 1.8000e-11, 2.0481e-08, 2.0463e-08,  25.00000,1
 1.9000e-11, 1.9000e-11, 2.0482e-08, 2.0463e-08,  25.00000,1
 2.0000e-11, 2.0000e-11, 2.0483e-08, 2.0463e-08,  25.00000,1
 2.1000e-11, 2.1000e-11, 2.0484e-08, 2.0463e-08,  25.00000,1
 2.2000e-11, 2.2000e-11, 2.0485e-08, 2.0463e-08,  25.00000,1
 2.3000e-11, 2.3000e-11, 2.0486e-08, 2.0463e-08,  25.00000,1
 2.4000e-11, 2.4000e-11, 2.0487e-08, 2.0463e-08,  25.00000,1
 2.5000e-11, 2.5000e-11, 2.0488e-08, 2.0463e-08,  25.00000,1
 2.6000e-11, 2.6000e-11, 2.0489e-08, 2.0463e-08,  25.00000,1
 2.7000e-11, 2.7000e-11, 2.0490e-08, 2.0463e-08,  25.00000,1
 2.8000e-11, 2.8000e-11, 2.0491e-08, 2.0463e-08,  25.00000,1
 2.9000e-11, 2.9000e-11, 2.0492e-08, 2.0463e-08,  25.00000,1
 3.0000e-11, 3.0000e-11, 2.0493e-08, 2.0463e-08,  25.00000,1
 3.1000e-11, 3.1000e-11, 2.0494e-08, 2.0463e-08,  25.00000,1
 3.2000e-11, 3.2000e-11, 2.0495e-08, 2.0463e-08,  25.00000,1
 3.3000e-11, 3.3000e-11, 2.0496e-08, 2.0463e-08,  25.00000,1
 3.4000e-11, 3.4000e-11, 2.0497e-08, 2.0463e-08,  25.00000,1
 3.5000e-11, 3.5000e-11, 2.0498e-08, 2.0463e-08,  25.00000,1
 3.6000e-11, 3.6000e-11, 2.0499e-08, 2.0463e-08,  25.00000,1
 3.7000e-11, 3.7000e-11, 2.0500e-08, 2.0463e-08,  25.00000,1
 3.8000e-11, 3.8000e-11, 2.0501e-08, 2.0463e-08,  25.00000,1
 3.9000e-11, 3.9000e-11, 2.0502e-08, 2.0463e-08,  25.00000,1
 4.0000e-11, 4.0000e-11, 2.0503e-08, 2.0463e-08,  25.00000,1
 4.1000e-11, 4.1000e-11, 2.0504e-08, 2.0463e-08,  25.00000,1
 4.2000e-11, 4.2000e-11, 2.0505e-08, 2.0463e-08,  25.00000,1
 4.3000e-11, 4.3000e-11, 2.0506e-08, 2.0463e-08,  25.00000,1
 4.4000e-11, 4.4000e-11, 2.0507e-08, 2.0463e-08,  25.00000,1
 4.5000e-11, 4.5000e-11, 2.0508e-08, 2.0463e-08,  25.00000,1
 4.6000e-11, 4.6000e-11, 2.0509e-08, 2.0463e-08,  25.00000,1
 4.7000e-11, 4.7000e-11, 2.0510e-08, 2.0463e-08,  25.00000,1
 4.8000e-11, 4.8000e-11, 2.0511e-08, 2.0463e-08,  25.00000,1
 4.9000e-11, 4.9000e-11, 2.0512e-08, 2.0463e-08,  25.00000,1
 5.0000e-11, 5.0000e-11, 2.0513e-08, 2.0463e-08,  25.00000,1
 5.1000e-11, 5.1000e-11, 2.0514e-08, 2.0463e-08,  25.00000,1
 5.2000e-11, 5.2000e-11, 2.0515e-08, 2.0463e-08,  25.00000,1
 5.3000e-11, 5.3000e-11, 2.0516e-08, 2.0463e-08,  25.00000,1
 5.4000e-11, 5.4000e-11, 2.0517e-08, 2.0463e-08,  25.00000,1
 5.5000e-11, 5.5000e-11, 2.0518e-08, 2.0463e-08,  25.00000,1
 5.6000e-11, 5.6000e-11, 2.0519e-08, 2.0463e-08,  25.00000,1
 5.7000e-11, 5.7000e-11, 2.0520e-08, 2.0463e-08,  25.00000,1
 5.8000e-11, 5.8000e-11, 2.0521e-08, 2.0463e-08,  25.00000,1
 5.9000e-11, 5.9000e-11, 2.0522e-08, 2.0463e-08,  25.00000,1
 6.0000e-11, 6.0000e-11, 2.0523e-08, 2.0463e-08,  25.00000,1
 6.1000e-11, 6.1000e-11, 2.0524e-08, 2.0463e-08,  25.00000,1
 6.2000e-11, 6.2000e-11, 2.0525e-08, 2.0463e-08,  25.00000,1
 6.3000e-11, 6.3000e-11, 2.0526e-08, 2.0463e-08,  25.00000,1
 6.4000e-11, 6.4000e-11, 2.0527e-08, 2.0463e-08,  25.00000,1
 6.5000e-11, 6.5000e-11, 2.0528e-08, 2.0463e-08,  25.00000,1
 6.6000e-11, 6.6000e-11, 2.0529e-08, 2.0463e-08,  25.00000,1
 6.7000e-11, 6.7000e-11, 2.0530e-08, 2.0463e-08,  25.00000,1
 6.8000e-11, 6.8000e-11, 2.0531e-08, 2.0463e-08,  25.00000,1
 6.9000e-11, 6.9000e-11, 2.0532e-08, 2.0463e-08,  25.00000,1
 7.0000e-11, 7.0000e-11, 2.0533e-08, 2.0463e-08,  25.00000,1
 7.1000e-11, 7.1000e-11, 2.0534e-08, 2.0463e-08,  25.00000,1
 7.2000e-11, 7.2000e-11, 2.0535e-08, 2.0463e-08,  25.00000,1
 7.3000e-11, 7.3000e-11, 2.0536e-08, 2.0463e-08,  25.00000,1
 7.4000e-11, 7.4000e-11, 2.0537e-08, 2.0463e-08,  25.00000,1
 7.5000e-11, 7.5000e-11, 2.0538e-08, 2.0463e-08,  25.00000,1
 7.6000e-11, 7.6000e-11, 2.0539e-08, 2.0463e-08,  25.00000,1
 7.7000e-11, 7.7000e-11, 6.4685e-10, 5.6985e-10,  25.00000,1
 7.8000e-11, 7.8000e-11, 6.2375e-10, 5.4575e-10,  25.00000,1
 7.9000e-11, 7.9000e-11, 6.1283e-10, 5.3383e-10,  25.00000,1
 8.0000e-11, 8.0000e-11, 6.0606e-10, 5.2606e-10,  25.00000,1
 8.1000e-11, 8.1000e-11, 6.0130e-10, 5.2030e-10,  25.00000,1
 8.2000e-11, 8.2000e-11, 5.9756e-10, 5.1556e-10,  25.00000,1
 8.3000e-11, 8.3000e-11, 5.9481e-10, 5.1181e-10,  25.00000,1
 8.4000e-11, 8.4000e-11, 5.9273e-10, 5.0873e-10,  25.00000,1
 8.5000e-11, 8.5000e-11, 5.9105e-10, 5.0605e-10,  25.00000,1
 8.6000e-11, 8.6000e-11, 5.8974e-10, 5.0374e-10,  25.00000,1
 8.7000e-11, 8.7000e-11, 5.8869e-10, 5.0169e-10,  25.00000,1
 8.8000e-11, 8.8000e-11, 5.8783e-10, 4.9983e-10,  25.00000,1
 8.9000e-11, 8.9000e-11, 5.8712e-10, 4.9812e-10,  25.00000,1
 9.0000e-11, 9.0000e-11, 5.8660e-10, 4.9660e-10,  25.00000,1
 9.1000e-11, 9.1000e-11, 5.8619e-10, 4.9519e-10,  25.00000,1
 9.2000e-11, 9.2000e-11, 5.8587e-10, 4.9387e-10,  25.00000,1
 9.3000e-11, 9.3000e-11, 5.8562e-10, 4.9262e-10,  25.00000,1
 9.4000e-11, 9.4000e-11, 5.8565e-10, 4.9165e-10,  25.00000,1
 9.5000e-11, 9.5000e-11, 5.8556e-10, 4.9056e-10,  25.00000,1
 9.6000e-11, 9.6000e-11, 5.8547e-10, 4.8947e-10,  25.00000,1
 9.7000e-11, 9.7000e-11, 5.8560e-10, 4.8860e-10,  25.00000,1
 9.8000e-11, 9.8000e-11, 5.8539e-10, 4.8739e-10,  25.00000,1
 9.9000e-11, 9.9000e-11, 5.8552e-10, 4.8652e-10,  25.00000,1
 1.0000e-10, 1.0000e-10, 5.8572e-10, 4.8572e-10,  25.00000,1
 1.0100e-10, 1.0100e-10, 5.8590e-10, 4.8490e-10,  25.00000,1
 1.0200e-10, 1.0200e-10, 5.8612e-10, 4.8412e-10,  25.00000,1
 1.0300e-10, 1.0300e-10, 5.8635e-10, 4.8335e-10,  25.00000,1
 1.0400e-10, 1.0400e-10, 5.8664e-10, 4.8264e-10,  25.00000,1
 1.0500e-10, 1.0500e-10, 5.8696e-10, 4.8196e-10,  25.00000,1
 1.0600e-10, 1.0600e-10, 5.8737e-10, 4.8137e-10,  25.00000,1
 1.0700e-10, 1.0700e-10, 5.8767e-10, 4.8067e-10,  25.00000,1
 1.0800e-10, 1.0800e-10, 5.8806e-10, 4.8006e-10,  25.00000,1
 1.0900e-10, 1.0900e-10, 5.8849e-10, 4.7949e-10,  25.00000,1
 1.1000e-10, 1.1000e-10, 5.8892e-10, 4.7892e-10,  25.00000,1
 1.1100e-10, 1.1100e-10, 5.8939e-10, 4.7839e-10,  25.00000,1
 1.1200e-10, 1.1200e-10, 5.9004e-10, 4.7804e-10,  25.00000,1
 1.1300e-10, 1.1300e-10, 5.9036e-10, 4.7736e-10,  25.00000,1
 1.1400e-10, 1.1400e-10, 5.9092e-10, 4.7692e-10,  25.00000,1
 1.1500e-10, 1.1500e-10, 5.9138e-10, 4.7638e-10,  25.00000,1
 1.1600e-10, 1.1600e-10, 5.9193e-10, 4.7593e-10,  25.00000,1
 1.1700e-10, 1.1700e-10, 5.9251e-10, 4.7551e-10,  25.00000,1
 1.1800e-10, 1.1800e-10, 5.9306e-10, 4.7506e-10,  25.00000,1
 1.1900e-10, 1.1900e-10, 5.9363e-10, 4.7463e-10,  25.00000,1
 1.2000e-10, 1.2000e-10, 5.9419e-10, 4.7419e-10,  25.00000,1
 1.2100e-10, 1.2100e-10, 5.9479e-10, 4.7379e-10,  25.00000,1
 1.2200e-10, 1.2200e-10, 5.9559e-10, 4.7359e-10,  25.00000,1
 1.2300e-10, 1.2300e-10, 5.9603e-10, 4.7303e-10,  25.00000,1
 1.2400e-10, 1.2400e-10, 5.9665e-10, 4.7265e-10,  25.00000,1
 1.2500e-10, 1.2500e-10, 5.9730e-10, 4.7230e-10,  25.00000,1
 1.2600e-10, 1.2600e-10, 5.9800e-10, 4.7200e-10,  25.00000,1
 1.2700e-10, 1.2700e-10, 5.9874e-10, 4.7174e-10,  25.00000,1
 1.2800e-10, 1.2800e-10, 5.9929e-10, 4.7129e-10,  25.00000,1
 1.2900e-10, 1.2900e-10, 5.9997e-10, 4.7097e-10,  25.00000,1
 1.3000e-10, 1.3000e-10, 6.0065e-10, 4.7065e-10,  25.00000,1
 1.3100e-10, 1.3100e-10, 6.0136e-10, 4.7036e-10,  25.00000,1
 1.3200e-10, 1.3200e-10, 6.0211e-10, 4.7011e-10,  25.00000,1
 1.3300e-10, 1.3300e-10, 6.0278e-10, 4.6978e-10,  25.00000,1
 1.3400e-10, 1.3400e-10, 6.0350e-10, 4.6950e-10,  25.00000,1
 1.3500e-10, 1.3500e-10, 6.0424e-10, 4.6924e-10,  25.00000,1
 1.3600e-10, 1.3600e-10, 6.0497e-10, 4.6897e-10,  25.00000,1
 1.3700e-10, 1.3700e-10, 6.0581e-10, 4.6881e-10,  25.00000,1
 1.3800e-10, 1.3800e-10, 6.0645e-10, 4.6845e-10,  25.00000,1
 1.3900e-10, 1.3900e-10, 6.0722e-10, 4.6822e-10,  25.00000,1
 1.4000e-10, 1.4000e-10, 6.0799e-10, 4.6799e-10,  25.00000,1
 1.4100e-10, 1.4100e-10, 6.0876e-10, 4.6776e-10,  25.00000,1
 1.4200e-10, 1.4200e-10, 6.0954e-10, 4.6754e-10,  25.00000,1
 1.4300e-10, 1.4300e-10, 6.1032e-10, 4.6732e-10,  25.00000,1
 1.4400e-10, 1.4400e-10, 6.1109e-10, 4.6709e-10,  25.00000,1
 1.4500e-10, 1.4500e-10, 6.1205e-10, 4.6705e-10,  25.00000,1
 1.4600e-10, 1.4600e-10, 6.1266e-10, 4.6666e-10,  25.00000,1
 1.4700e-10, 1.4700e-10, 6.1348e-10, 4.6648e-10,  25.00000,1
 1.4800e-10, 1.4800e-10, 6.1429e-10, 4.6629e-10,  25.00000,1
 1.4900e-10, 1.4900e-10, 6.1507e-10, 4.6607e-10,  25.00000,1
 1.5000e-10, 1.5000e-10, 6.1588e-10, 4.6588e-10,  25.00000,1
 1.5100e-10, 1.5100e-10, 6.1670e-10, 4.6570e-10,  25.00000,1
 1.5200e-10, 1.5200e-10, 6.1753e-10, 4.6553e-10,  25.00000,1
 1.5300e-10, 1.5300e-10, 6.1837e-10, 4.6537e-10,  25.00000,1
 1.5400e-10, 1.5400e-10, 6.1920e-10, 4.6520e-10,  25.00000,1
 1.5500e-10, 1.5500e-10, 6.2001e-10, 4.6501e-10,  25.00000,1
 1.5600e-10, 1.5600e-10, 6.2087e-10, 4.6487e-10,  25.00000,1
 1.5700e-10, 1.5700e-10, 6.2173e-10, 4.6473e-10,  25.00000,1
